연번,참여대상,운영학기,프로그램명,주제,목적,운영부서,재원,"만족도 점수
 (5점 만점)",수료자
24,교원,2학기,교수법특강,9차 학생이 질문하는 수업: ARCS 모형 기반 설계와 적용," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.3,101
25,교원,1학기,교수법워크숍,1차 에듀테크 이해와 유형,"해당 분야 전문가의 강연 및 동료 교원과의 토론, 활동을 통해 효과적인 강의 전략 습득 및 강의의 질적 개선 도모 ",교수학습팀,국립대학육성사업,4.5,64
26,교원,1학기,교수법워크숍,2차 에듀테크 활용 실습,"해당 분야 전문가의 강연 및 동료 교원과의 토론, 활동을 통해 효과적인 강의 전략 습득 및 강의의 질적 개선 도모 ",교수학습팀,국립대학육성사업,4.5,63
27,교원,1학기,교수법워크숍,3차 에듀테크 활용 수업설계 실습,"해당 분야 전문가의 강연 및 동료 교원과의 토론, 활동을 통해 효과적인 강의 전략 습득 및 강의의 질적 개선 도모 ",교수학습팀,국립대학육성사업,4.5,64
28,교원,2학기,교수법워크숍,1차 효과적인 학습자중심수업을 위한 IC-PBL설계,"해당 분야 전문가의 강연 및 동료 교원과의 토론, 활동을 통해 효과적인 강의 전략 습득 및 강의의 질적 개선 도모",교수학습팀,국립대학육성사업,4.5,120
29,교원,"1학기,2학기",교수법연구모임,교수자 간 강의개선 및 교수법관련 연구를 통해 학습공동체 형성 및 교원역량 강화,교수자 간 강의개선 및 교수법관련 연구를 통해 학습공동체 형성 및 교원역량 강화,교수학습팀,비예산,n/a,39
30,교원,"1학기,2학기",신임교원멘토링,신임 및 경력교원 간 다양한 정보 공유를 통한 교수학습공동체 문화 확산 환경 조성,신임 및 경력교원 간 다양한 정보 공유를 통한 교수학습공동체 문화 확산 환경 조성,교수학습팀,국립대학육성사업,4.82,17
31,교원,2학기,수업 컨설팅 프로그램,강의 촬영 및 분석을 통해 실제 강의를 기반으로 한 체계적인 진단을 통해  강의 개선점 도출 및 수업의 질 개선,실제 강의를 기반으로 한 체계적인 진단을 통해  강의 개선점 도출 및 수업의 질 개선,교수학습팀,국립대학육성사업,5,6
32,학생,2학기,노마드(NOMAD),AI 활용 자기주도 학습 발표형 공모전,아이디어 기획을 통한 창의적 사고 및 자기주도 학습 역량 강화를 위한 공모전,교육과정과 교양교육팀,국립대학육성사업,4.6,15
33,학생,2학기,진로탐색특강,3차 선배님에게 들어보는 전공 선택과 진로 설정,선배님에게 들어보는 전공 선택과 진로 설정,교육과정과 교양교육팀,국립대학육성사업,4.7,28
34,학생,2학기,진로탐색특강,2차 AI를 이용한 자기 이해와 진로 특강,AI를 이용한 자기 이해와 진로 특강,교육과정과 교양교육팀,국립대학육성사업,4.7,20
35,학생,2학기,자율전공학부지역탐방캠프,GNU의 다양한 전공에 대한 심층적 이해와 전공 결정 지원,다양한 전공에 대한 심층적 이해 및 결정 지원,교육과정과 교양교육팀,국립대학육성사업,4.2,63
36,학생,2학기,진로탐색특강,1차 빠르고 바른 진로 설정의 중요성,빠르고 바른 진로 설정의 중요성,교육과정과 교양교육팀,국립대학육성사업,4.7,67
37,학생,1학기,TheGeNiUs학습법특강,1차 효과적으로 방학 시간 활용하기-실습 기반,효과적인 학습 방법 및 전략 제시하여 학습 효율성과 학업 성취도 향상,교육과정과 교양교육팀,국립대학육성사업,4.6,197
38,학생,2학기,TheGeNiUs학습법특강,2차 AI로 대학 생활 레벨업! A+ 과제 완성하기,효과적인 학습 방법 및 전략 제시하여 학습 효율성과 학업 성취도 향상,교육과정과 교양교육팀,국립대학육성사업,4.5,141
39,"학생, 지역민",2학기,TheGeNiUs학습법특강,3차 AI를 활용한 시험전략_제미나이(Gemini) 실습 기반,효과적인 학습 방법 및 전략 제시하여 학습 효율성과 학업 성취도 향상,교육과정과 교양교육팀,국립대학육성사업,4.6,174
